	date_and_time	time	left_eye_EAR	right_eye_EAR	AVERAGE_EAR	LAR	ANGLE
76	2018-03-25 18:55:29 555000	18:55	0.23850259343081628	0.2557041559783794	0.24710337470459787	0.33344436552495577	-5.194428907734789
77	2018-03-25 18:55:29 681000	18:55	0.24951314462072213	0.2518868125783982	0.25069997859956017	0.34307509128602515	-5.079607860014562
78	2018-03-25 18:55:29 795000	18:55	0.23488808780588138	0.24087440257466058	0.23788124519027098	0.3343588696770971	-5.194428907734789
79	2018-03-25 18:55:29 929000	18:55	0.24951314462072213	0.2518868125783982	0.25069997859956017	0.32523134849954277	-5.079607860014562
80	2018-03-25 18:55:30 049000	18:55	0.23850259343081628	0.24806946917841693	0.24328603130461662	0.32523134849954277	-5.314545669944749
81	2018-03-25 18:55:30 165000	18:55	0.24211709905575113	0.2336824951347944	0.23789979709527276	0.33256330591690847	-5.194428907734789
82	2018-03-25 18:55:30 290000	18:55	0.2571922625628131	0.2657851979020681	0.26148873023244057	0.3244010503849448	-5.194428907734789
83	2018-03-25 18:55:30 416000	18:55	0.24211709905575113	0.2336824951347944	0.23789979709527276	0.33335087904902516	-5.194428907734789
84	2018-03-25 18:55:30 531000	18:55	0.23488808780588138	0.24087440257466058	0.23788124519027098	0.3340534144396029	-5.194428907734789
85	2018-03-25 18:55:30 657000	18:55	0.26424909878161656	0.24087440257466058	0.2525617506781386	0.324362574026664	-5.194428907734789
86	2018-03-25 18:55:30 785000	18:55	0.23488808780588138	0.2557041559783794	0.2452961218921304	0.3339955186453633	-5.194428907734789
87	2018-03-25 18:55:30 919000	18:55	0.29361010975735174	0.28214861759762744	0.28787936367748956	0.3345848515443576	-5.194428907734789
88	2018-03-25 18:55:31 025000	18:55	0.24951314462072213	0.24087440257466058	0.24519377359769134	0.3344348229960206	-5.079607860014562
89	2018-03-25 18:55:31 156000	18:55	0.24951314462072213	0.3131573012449295	0.2813352229328258	0.34382125471511915	-5.079607860014562
90	2018-03-25 18:55:31 282000	18:55	0.23529411764705882	0.2693811516220012	0.25233763463453	0.36361854491827866	-3.900493742381883
91	2018-03-25 18:55:31 396000	18:55	0.29361010975735174	0.24087440257466058	0.26724225616600616	0.3329853787787632	-6.48307369289725
92	2018-03-25 18:55:31 520000	18:55	0.26786360440655144	0.2978879006693419	0.28287575253794667	0.3343374647173105	-5.194428907734789
93	2018-03-25 18:55:31 651000	18:55	0.2850970508005519	0.2664887607465768	0.27579290577356436	0.34230745149006675	-5.194428907734789
94	2018-03-25 18:55:31 784000	18:55	0.23850259343081628	0.28964222318174615	0.2640724083062812	0.333440118537656	-6.48307369289725
95	2018-03-25 18:55:31 889000	18:55	0.2876301804462766	0.292103118918493	0.2898666496823848	0.3236633874109443	-6.48307369289725
96	2018-03-25 18:55:32 017000	18:55	0.2807022876983124	0.292103118918493	0.2864027033084027	0.3449804582416773	-6.48307369289725
97	2018-03-25 18:55:32 144000	18:55	0.25335270359176765	0.28214861759762744	0.26775066059469754	0.3344568351271982	-5.194428907734789
98	2018-03-25 18:55:32 257000	18:55	0.25335270359176765	0.23727844885472751	0.24531557622324757	0.3340924112781087	-5.194428907734789
99	2018-03-25 18:55:32 392000	18:55	0.23850259343081628	0.20631521493623017	0.22240890418352322	0.34389357093886014	-6.6325146151384615
100	2018-03-25 18:55:32 524000	18:55	0.23488808780588138	0.2532803652007522	0.2440842265033168	0.3602392180185974	-6.788974574438782
101	2018-03-25 18:55:32 632000	18:55	0.21832400154313186	0.20447218324294508	0.21139809239303847	0.3522822358808526	-6.48307369289725
102	2018-03-25 18:55:32 763000	18:55	0.24951314462072213	0.2487594069171465	0.24913627576893432	0.3512748242558963	-6.340191745909891
103	2018-03-25 18:55:32 889000	18:55	0.29361010975735174	0.292103118918493	0.29285661433792237	0.35080289035920453	-6.6325146151384615
104	2018-03-25 18:55:33 009000	18:55	0.3149797645528214	0.31008683647302115	0.3125333005129213	0.34389357093886014	-6.6325146151384615
105	2018-03-25 18:55:33 124000	18:55	0.3794323017289523	0.3505237427021916	0.36497802221557196	0.3532800026579586	-6.48307369289725
106	2018-03-25 18:55:33 248000	18:55	0.3794323017289523	0.3768510093300177	0.378141655529485	0.3420926930070513	-5.194428907734789
107	2018-03-25 18:55:33 376000	18:55	0.3547621232692877	0.33357947635520163	0.34417079981224463	0.2514240163313734	-6.48307369289725
108	2018-03-25 18:55:35 345000	18:55	0.3523649724724399	0.35233213170882205	0.352348552090631	0.3060863894018199	-7.4314079711725185
109	2018-03-25 18:55:35 473000	18:55	0.3874921291460643	0.39473684210526316	0.39111448562566375	0.29632534365595253	-4.864514437760505
110	2018-03-25 18:55:35 585000	18:55	0.3333333333333333	0.3312945782245396	0.33231395577893647	0.3159308190064703	-8.652541791114714
111	2018-03-25 18:55:35 713000	18:55	0.30637894071415156	0.3529412620251612	0.3296601013696564	0.305481915398619	-7.59464336859142
112	2018-03-25 18:55:35 841000	18:55	0.3333333333333333	0.3529412620251612	0.3431372976792473	0.3142481541968557	-10.304846468766016
113	2018-03-25 18:55:35 970000	18:55	0.3604127312396988	0.38847237299173903	0.3744425521157189	0.32408019686626593	-7.59464336859142
114	2018-03-25 18:55:36 080000	18:55	0.3553587813481308	0.37723691800736087	0.3662978496777458	0.34184279060308	-7.94347181059041
115	2018-03-25 18:55:36 210000	18:55	0.30597159483648995	0.37723691800736087	0.3416042564219254	0.33351223051908224	-6.48307369289725
116	2018-03-25 18:55:36 337000	18:55	0.3242058216857667	0.292103118918493	0.30815447030212983	0.3339312846815799	-6.6325146151384615
117	2018-03-25 18:55:36 449000	18:55	0.2978879006693419	0.31622776601683794	0.3070578333430899	0.3438389186397127	-6.6325146151384615
118	2018-03-25 18:55:36 577000	18:55	0.32662334100873636	0.32662334100873636	0.32662334100873636	0.3343845189034572	-5.314545669944749
119	2018-03-25 18:55:36 707000	18:55	0.3571921148297533	0.31008683647302115	0.33363947565138724	0.3335250885234933	-5.440332031005511
120	2018-03-25 18:55:36 823000	18:55	0.2978879006693419	0.3467323420120994	0.3223101213407207	0.3449599379677079	-5.314545669944749
121	2018-03-25 18:55:36 945000	18:55	0.34566186625242745	0.31008683647302115	0.3278743513627243	0.35420488707670456	-5.314545669944749
122	2018-03-25 18:55:37 072000	18:55	0.3149797645528214	0.3467323420120994	0.33085605328246037	0.33405170694510766	-5.194428907734789
123	2018-03-25 18:55:37 202000	18:55	0.3410955201203233	0.31189143077590264	0.32649347544811297	0.344118168004221	-5.314545669944749
124	2018-03-25 18:55:37 316000	18:55	0.3742697169310832	0.3430805738534929	0.35867514539228806	0.34350761923623296	-5.314545669944749
125	2018-03-25 18:55:37 441000	18:55	0.32830842531896226	0.3410955201203233	0.33470197271964275	0.3525113560999401	-3.990913098429786
126	2018-03-25 18:55:37 569000	18:55	0.3430805738534929	0.3131573012449295	0.3281189375492112	0.3633322274158647	-3.900493742381883
127	2018-03-25 18:55:37 681000	18:55	0.29361010975735174	0.34616890763041164	0.31988950869388166	0.34329686409013094	-5.314545669944749
128	2018-03-25 18:55:37 810000	18:55	0.32662334100873636	0.3131573012449295	0.3198903211268329	0.3530515883146455	-5.314545669944749
129	2018-03-25 18:55:37 940000	18:55	0.31189143077590264	0.292103118918493	0.30199727484719785	0.32456942287267637	-5.314545669944749
130	2018-03-25 18:55:38 073000	18:55	0.2807022876983124	0.24806946917841693	0.2643858784383647	0.33448405690251515	-5.314545669944749
131	2018-03-25 18:55:38 195000	18:55	0.31189143077590264	0.279078152825719	0.29548479180081083	0.34367799452186776	-5.314545669944749
132	2018-03-25 18:55:38 316000	18:55	0.31008683647302115	0.28964222318174615	0.29986452982738365	0.3445924002938752	-6.6325146151384615
133	2018-03-25 18:55:38 440000	18:55	0.31008683647302115	0.2832553219924299	0.2966710792327255	0.34342030038673943	-6.48307369289725
134	2018-03-25 18:55:38 556000	18:55	0.31008683647302115	0.31622776601683794	0.3131573012449296	0.31562843022688963	-6.48307369289725
135	2018-03-25 18:55:38 674000	18:55	0.31008683647302115	0.3131573012449295	0.31162206885897537	0.33448405690251515	-6.48307369289725
136	2018-03-25 18:55:38 803000	18:55	0.31008683647302115	0.3131573012449295	0.31162206885897537	0.32391119988154166	-6.48307369289725
137	2018-03-25 18:55:38 917000	18:55	0.31008683647302115	0.292103118918493	0.3010949776957571	0.3333654457820876	-6.6325146151384615
138	2018-03-25 18:55:39 040000	18:55	0.2845418466693579	0.2336824951347944	0.25911217090207617	0.32391119988154166	-5.314545669944749
139	2018-03-25 18:55:39 170000	18:55	0.3149797645528214	0.31622776601683794	0.3156037652848297	0.3333699478243811	-6.6325146151384615
140	2018-03-25 18:55:39 296000	18:55	0.3149797645528214	0.3131573012449295	0.3140685328988755	0.3344568351271982	-6.48307369289725
141	2018-03-25 18:55:39 409000	18:55	0.32297112073308687	0.3410955201203233	0.3320333204267051	0.34350330431716297	-5.440332031005511
142	2018-03-25 18:55:39 536000	18:55	0.31189143077590264	0.3467323420120994	0.329311886394001	0.3433013054871975	-6.48307369289725
143	2018-03-25 18:55:39 665000	18:55	0.2876301804462766	0.31008683647302115	0.2988585084596489	0.3344568351271982	-5.314545669944749
