	date_and_time	time	blinking start time	blinking end time	blinking time	no of frames
173	2018-03-25 19:56:21 718000	19:56	1521987981.376	1521987981.718	0.34200000762939453	1
174	2018-03-25 19:56:25 181000	19:56	1521987984.492	1521987985.181	0.6889998912811279	2
175	2018-03-25 19:56:26 556000	19:56	1521987986.212	1521987986.556	0.34400010108947754	1
176	2018-03-25 19:56:27 929000	19:56	1521987987.244	1521987987.929	0.684999942779541	1
177	2018-03-25 19:56:29 654000	19:56	1521987989.306	1521987989.654	0.34800004959106445	1
178	2018-03-25 19:56:32 746000	19:56	1521987992.4	1521987992.746	0.34599995613098145	1
179	2018-03-25 19:56:36 525000	19:56	1521987995.151	1521987996.525	1.374000072479248	3
180	2018-03-25 19:57:01 751000	19:57	1521988021.382	1521988021.751	0.3689999580383301	1
181	2018-03-25 19:57:14 191000	19:57	1521988033.462	1521988034.191	0.7290000915527344	1
182	2018-03-25 19:57:18 096000	19:57	1521988037.02	1521988038.096	1.0759999752044678	3
183	2018-03-25 19:57:20 255000	19:57	1521988039.893	1521988040.255	0.3620002269744873	1
184	2018-03-25 19:57:21 674000	19:57	1521988040.971	1521988041.674	0.7030000686645508	2
185	2018-03-25 19:57:22 405000	19:57	1521988042.036	1521988042.405	0.3689999580383301	1
186	2018-03-25 19:57:46 378000	19:57	1521988066.021	1521988066.378	0.35700011253356934	1
187	2018-03-25 19:57:48 521000	19:57	1521988067.443	1521988068.521	1.0779998302459717	1
188	2018-03-25 19:57:51 457000	19:57	1521988070.699	1521988071.457	0.7580001354217529	1
189	2018-03-25 19:57:54 353000	19:57	1521988073.274	1521988074.353	1.0789999961853027	2
190	2018-03-25 19:57:57 321000	19:57	1521988074.711	1521988077.321	2.6100001335144043	3
191	2018-03-25 19:58:10 988000	19:58	1521988088.862	1521988090.988	2.125999927520752	5
192	2018-03-25 19:58:12 462000	19:58	1521988091.353	1521988092.462	1.1089999675750732	1
193	2018-03-25 19:58:16 564000	19:58	1521988095.839	1521988096.564	0.7249999046325684	1
194	2018-03-25 19:58:26 913000	19:58	1521988106.127	1521988106.913	0.7860000133514404	1
195	2018-03-25 19:58:29 911000	19:58	1521988109.526	1521988109.911	0.38499999046325684	1
196	2018-03-25 19:58:52 095000	19:58	1521988131.737	1521988132.095	0.3580000400543213	1
197	2018-03-25 19:58:52 801000	19:58	1521988132.451	1521988132.801	0.35000014305114746	1
198	2018-03-25 19:58:57 765000	19:58	1521988137.41	1521988137.765	0.35500001907348633	1
199	2018-03-25 19:59:00 910000	19:59	1521988139.86	1521988140.91	1.0500001907348633	3
200	2018-03-25 19:59:03 762000	19:59	1521988143.398	1521988143.762	0.3640000820159912	1
201	2018-03-25 19:59:11 216000	19:59	1521988150.863	1521988151.216	0.3530001640319824	1
202	2018-03-25 19:59:41 312000	19:59	1521988178.145	1521988181.312	3.1670000553131104	7
203	2018-03-25 19:59:47 253000	19:59	1521988184.145	1521988187.253	3.1080000400543213	2
204	2018-03-25 19:59:48 676000	19:59	1521988187.614	1521988188.676	1.062000036239624	2
205	2018-03-25 19:59:50 438000	19:59	1521988189.749	1521988190.438	0.6889998912811279	1
206	2018-03-25 19:59:53 943000	19:59	1521988193.595	1521988193.943	0.34800004959106445	1
207	2018-03-25 19:59:59 630000	19:59	1521988197.127	1521988199.63	2.503000020980835	5
208	2018-03-25 20:00:03 507000	20:00	1521988203.147	1521988203.507	0.3599998950958252	1
209	2018-03-25 20:00:12 833000	20:00	1521988211.397	1521988212.833	1.435999870300293	2
210	2018-03-25 20:00:17 817000	20:00	1521988215.347	1521988217.817	2.4700000286102295	7
211	2018-03-25 20:00:23 084000	20:00	1521988222.721	1521988223.084	0.36300015449523926	1
212	2018-03-25 20:00:28 687000	20:00	1521988228.323	1521988228.687	0.3640000820159912	1
213	2018-03-25 20:00:30 117000	20:00	1521988229.754	1521988230.117	0.36300015449523926	1
214	2018-03-25 20:00:35 118000	20:00	1521988234.767	1521988235.118	0.3510000705718994	1
215	2018-03-25 20:00:40 493000	20:00	1521988239.424	1521988240.493	1.069000005722046	2
216	2018-03-25 20:00:42 100000	20:00	1521988241.711	1521988242.1	0.38899993896484375	1
217	2018-03-25 20:00:43 945000	20:00	1521988242.472	1521988243.945	1.4730000495910645	1
218	2018-03-25 20:01:04 612000	20:01	1521988264.237	1521988264.612	0.375	1
219	2018-03-25 20:01:06 919000	20:01	1521988264.995	1521988266.919	1.9240000247955322	4
220	2018-03-25 20:01:07 668000	20:01	1521988267.294	1521988267.668	0.37400007247924805	1
221	2018-03-25 20:01:17 820000	20:01	1521988275.926	1521988277.82	1.8939998149871826	2
